ID Node1 Node2 Node3 Nabr1 Nabr2 Nabr3
1 93 95 45 74 42 120
2 127 279 280 477 484 478
3 76 101 100 134 167 135
4 70 79 80 5 16 66
5 80 79 32 10 17 4
6 97 113 74 158 33 128
7 87 33 79 10 66 39
8 104 125 29 181 11 155
9 120 109 355 171 627 93
10 79 33 32 0 5 7
11 69 104 29 8 55 139
12 84 85 86 1102 47 218
13 90 24 23 0 27 197
14 232 387 89 687 384 688
15 19 247 252 417 419 351
16 70 80 82 30 686 4
17 80 32 31 0 30 5
18 199 192 186 308 322 57
19 142 360 83 636 226 211
20 282 285 235 490 22 396
21 66 65 62 43 104 44
22 282 235 92 486 483 20
23 90 91 71 796 117 27
24 27 274 28 172 0 468
25 67 69 28 55 172 53
26 304 234 287 184 524 758
27 90 23 91 0 23 13
28 84 81 82 83 70 47
29 224 225 35 376 374 373
30 82 80 31 17 70 16
31 33 222 34 362 0 39
32 327 310 316 536 430 571
33 97 74 18 0 116 6
34 226 36 225 376 375 378
35 604 85 88 222 1103 1102
36 391 39 389 0 690 889
37 228 388 38 692 372 689
38 142 130 136 141 190 111
39 87 222 33 31 7 368
40 78 104 110 139 640 155
41 45 47 46 0 0 74
42 44 93 45 1 0 51
43 61 62 65 21 65 105
44 64 65 66 21 91 89
45 96 72 94 50 122 61
46 62 75 100 149 134 87
47 84 86 81 118 28 12
48 40 390 494 893 892 0
49 99 75 98 130 69 132
50 94 72 93 120 51 45
51 93 44 94 119 50 42
52 243 107 114 160 106 703
53 69 67 103 170 140 25
54 543 105 41 142 987 888
55 69 29 28 0 25 11
56 89 81 604 118 154 687
57 210 192 199 18 326 1068
58 123 124 121 177 469 179
59 61 14 13 0 105 67
60 91 22 443 797 796 0
61 72 96 244 410 75 45
62 175 173 95 259 275 279
63 115 243 17 106 0 159
64 177 180 190 288 305 293
65 65 15 61 67 43 89
66 87 79 70 4 371 7
67 14 61 15 65 0 59
68 403 405 260 726 719 655
69 99 98 11 0 131 49
70 31 84 82 28 30 638
71 511 510 378 921 924 914
72 103 120 77 627 84 138
73 8 625 623 1132 0 1137
74 95 47 45 41 1 277
75 72 244 112 262 278 61
76 621 629 619 1147 1129 1124
77 66 236 63 137 91 397
78 497 428 335 766 898 899
79 154 157 152 239 237 236
80 423 425 422 525 504 759
81 5 502 501 775 0 905
82 319 317 318 551 553 365
83 82 81 387 687 686 28
84 77 358 103 252 72 632
85 382 38 227 380 651 372
86 219 372 375 664 858 666
87 13 75 62 46 105 110
88 54 73 55 113 0 353
89 64 15 65 65 44 0
90 229 382 223 379 381 114
91 66 63 64 0 44 77
92 181 178 188 281 304 284
93 109 120 121 138 177 9
94 573 574 569 0 1049 1037
95 454 368 451 820 812 834
96 102 236 101 397 135 400
97 132 277 279 472 478 474
98 163 156 153 229 255 254
99 78 136 125 141 155 202
100 5 4 372 664 575 0
101 226 227 37 380 378 377
102 476 474 475 859 860 861
103 100 605 126 1105 167 149
104 66 62 101 134 397 21
105 62 61 13 59 87 43
106 114 17 243 63 52 147
107 89 164 168 257 390 154
108 326 324 608 565 995 546
109 339 330 345 603 608 591
110 75 13 12 0 130 87
111 148 130 142 38 226 214
112 381 475 375 858 659 862
113 55 73 221 369 0 88
114 382 229 228 382 372 90
115 31 141 361 212 638 0
116 97 18 17 0 147 33
117 90 71 442 489 795 23
118 81 86 604 1102 56 47
119 94 44 43 0 121 51
120 93 72 95 275 1 50
121 43 42 94 122 119 0
122 96 94 42 121 125 45
123 175 112 169 267 279 278
124 150 151 147 156 224 230
125 42 105 96 410 122 142
126 105 106 244 412 410 143
127 16 241 392 697 696 191
128 114 113 97 6 147 160
129 116 119 108 586 164 166
130 75 12 98 0 49 110
131 116 99 11 69 166 1104
132 99 605 75 149 49 1104
133 116 118 605 1105 1104 164
134 100 101 62 104 46 3
135 102 101 76 3 402 96
136 126 129 76 162 167 183
137 236 238 63 398 77 400
138 121 120 103 72 170 93
139 104 69 110 140 40 11
140 110 69 103 53 252 139
141 125 136 130 38 189 99
142 41 105 42 125 0 54
143 106 105 68 888 157 126
144 231 233 228 689 382 388
145 163 164 88 1103 234 255
146 122 354 140 151 645 624
147 97 17 114 106 128 116
148 320 325 321 564 552 590
149 100 75 605 132 103 46
150 124 132 134 195 200 179
151 135 140 354 146 625 201
152 145 363 149 641 223 225
153 145 85 144 637 217 220
154 604 164 89 107 56 1103
155 78 125 104 8 40 99
156 88 147 151 124 234 222
157 490 106 68 143 887 883
158 246 74 113 6 416 0
159 392 243 115 63 696 407
160 113 114 107 52 420 128
161 16 237 240 401 191 0
162 76 129 307 535 402 136
163 119 272 117 0 169 466
164 118 116 108 129 182 133
165 131 138 139 188 550 206
166 119 116 11 131 466 129
167 76 100 126 103 136 3
168 427 429 426 465 767 764
169 119 117 426 767 768 163
170 121 103 67 53 173 138
171 109 354 355 624 9 625
172 274 67 28 25 24 173
173 67 274 121 469 170 172
174 124 135 109 625 177 200
175 172 161 155 243 238 251
176 278 275 276 473 475 471
177 121 124 109 174 93 58
178 123 274 275 468 194 469
179 124 123 132 474 150 58
180 361 360 144 216 637 212
181 29 125 111 189 0 8
182 108 333 118 582 164 583
183 138 129 126 136 193 206
184 287 234 290 500 495 26
185 128 135 134 200 350 201
186 20 255 419 750 393 0
187 256 410 407 437 731 723
188 139 138 118 193 582 165
189 130 111 125 181 141 203
190 136 143 142 211 38 213
191 240 241 16 127 161 405
192 260 412 397 736 719 737
193 126 118 138 188 183 1105
194 277 123 275 178 471 474
195 132 127 134 488 150 478
196 26 286 278 491 475 0
197 90 235 24 485 13 486
198 127 282 284 483 394 484
199 263 261 267 450 760 445
200 134 135 124 174 150 185
201 135 128 140 519 151 185
202 136 78 364 644 213 99
203 30 111 130 189 214 0
204 162 362 110 640 629 246
205 77 356 357 630 632 249
206 129 138 131 165 538 183
207 329 333 335 583 910 562
208 320 323 444 798 592 552
209 627 214 216 355 1142 347
210 185 205 179 330 286 301
211 143 360 142 19 190 216
212 360 361 141 115 636 180
213 364 143 136 190 202 643
214 130 148 30 0 203 111
215 144 143 137 643 217 216
216 143 144 360 180 211 215
217 145 144 137 215 225 153
218 361 85 84 12 638 637
219 363 364 362 644 639 642
220 85 145 147 223 222 153
221 193 170 171 268 310 313
222 85 147 88 156 35 220
223 145 149 147 224 220 152
224 149 150 147 124 223 227
225 363 145 137 217 642 152
226 142 83 148 0 111 19
227 150 149 146 641 244 224
228 159 160 158 247 245 635
229 153 156 169 241 256 98
230 151 150 154 242 235 124
231 167 164 153 255 256 257
232 155 157 158 236 247 243
233 174 165 176 1107 303 274
234 88 151 163 254 145 156
235 151 154 156 237 254 230
236 158 157 154 79 242 232
237 154 152 156 240 235 79
238 172 155 170 250 269 175
239 157 161 152 1106 79 243
240 165 156 152 237 276 241
241 156 165 169 266 229 240
242 158 154 150 230 245 236
243 161 157 155 232 175 239
244 146 159 150 245 227 248
245 158 150 159 244 228 242
246 146 362 162 204 248 639
247 158 160 155 250 232 228
248 162 159 146 244 246 253
249 77 355 356 626 205 627
250 160 170 155 238 247 268
251 161 172 182 280 273 175
252 110 103 358 84 629 140
253 159 162 359 270 635 248
254 156 163 151 234 235 98
255 163 153 164 231 145 98
256 153 169 167 267 231 229
257 164 167 168 263 107 231
258 606 161 176 296 1107 1106
259 95 173 174 274 277 62
260 365 195 194 271 318 646
261 200 48 181 284 291 298
262 244 245 112 414 75 412
263 245 168 167 257 414 413
264 493 233 384 386 890 691
265 230 231 232 387 680 388
266 173 169 165 241 274 279
267 167 169 112 123 414 256
268 171 170 160 250 634 221
269 170 166 172 272 238 313
270 162 357 359 631 253 633
271 195 193 194 310 260 317
272 172 166 180 307 287 269
273 161 182 184 292 296 251
274 174 173 165 266 233 259
275 175 95 72 120 278 62
276 152 606 165 1107 240 1106
277 47 95 174 259 285 74
278 112 175 72 275 75 123
279 169 173 175 62 123 266
280 182 172 183 287 289 251
281 47 188 178 92 0 285
282 186 190 191 288 316 308
283 49 202 367 302 650 332
284 181 48 178 0 92 261
285 188 47 174 277 303 281
286 183 185 179 210 289 294
287 183 172 180 272 293 280
288 191 190 180 64 307 282
289 182 183 179 286 292 280
290 184 181 176 304 296 327
291 181 201 200 295 261 327
292 184 182 179 289 329 273
293 180 177 183 294 287 64
294 185 183 177 293 297 286
295 187 200 201 291 337 328
296 161 184 176 290 258 273
297 185 177 206 338 336 294
298 200 202 48 332 261 328
299 186 195 197 311 322 316
300 627 535 585 849 1143 1142
301 207 205 185 210 336 333
302 202 187 367 335 283 328
303 174 176 188 304 285 233
304 181 188 176 303 290 92
305 192 177 190 64 308 338
306 206 192 189 1067 339 338
307 191 180 166 272 309 288
308 190 186 192 18 305 282
309 166 193 191 317 307 313
310 171 194 193 271 221 314
311 195 196 197 342 299 646
312 251 396 248 733 425 704
313 170 193 166 309 269 221
314 171 356 194 628 310 630
315 211 196 366 344 523 345
316 191 195 186 299 282 317
317 193 195 191 316 309 271
318 194 122 365 645 260 628
319 128 301 303 522 519 513
320 198 209 212 349 354 323
321 209 208 197 325 342 323
322 186 197 199 325 18 299
323 208 209 198 320 343 321
324 214 210 198 343 346 347
325 197 208 199 326 322 321
326 199 208 210 343 57 325
327 201 181 184 290 329 291
328 202 200 187 295 302 298
329 184 179 201 330 327 292
330 201 179 205 210 337 329
331 50 581 580 1058 1055 1057
332 48 202 49 283 0 298
333 572 205 207 301 341 1045
334 216 531 533 852 815 964
335 367 187 203 1044 649 302
336 185 206 207 339 301 297
337 201 205 187 1045 295 330
338 192 206 177 297 305 306
339 206 189 207 848 336 306
340 368 465 463 841 828 834
341 207 557 572 1063 333 843
342 209 197 196 311 345 321
343 210 208 198 323 324 326
344 365 366 196 315 646 647
345 209 196 211 315 349 342
346 198 215 214 357 324 354
347 210 214 627 209 1068 324
348 292 290 293 500 503 494
349 209 211 212 521 320 345
350 128 134 300 509 513 185
351 19 246 247 416 15 0
352 369 215 217 461 654 454
353 451 73 54 88 818 611
354 215 198 212 320 361 346
355 216 214 213 357 964 209
356 306 305 270 512 527 529
357 213 214 215 346 454 355
358 371 369 370 654 853 656
359 456 452 454 819 812 814
360 113 249 247 426 416 415
361 212 306 215 461 354 528
362 222 224 34 374 31 370
363 218 224 223 370 379 373
364 483 541 448 984 876 602
365 314 317 319 82 555 544
366 584 567 582 1023 1065 1007
367 467 468 469 846 967 847
368 223 222 87 39 381 370
369 518 221 73 113 938 615
370 222 223 224 363 362 368
371 87 70 386 383 685 66
372 228 38 382 85 114 37
373 225 224 218 363 375 29
374 35 34 224 362 29 0
375 226 225 218 373 377 34
376 36 35 225 29 34 0
377 227 226 218 375 651 101
378 36 226 37 101 0 34
379 382 218 223 363 90 651
380 37 227 38 85 0 101
381 229 223 87 368 685 90
382 229 231 228 144 114 387
383 70 387 386 688 371 686
384 385 232 89 14 390 680
385 168 106 383 883 683 413
386 384 233 230 388 391 264
387 232 231 229 382 389 265
388 233 231 230 265 386 144
389 386 232 229 387 685 688
390 89 168 385 683 384 107
391 230 383 384 681 386 684
392 391 388 233 689 691 690
393 20 419 420 751 753 186
394 288 127 284 198 493 488
395 281 25 283 0 480 476
396 285 282 280 484 482 20
397 101 236 66 77 104 96
398 238 237 63 0 137 401
399 238 102 309 534 531 400
400 238 236 102 96 399 137
401 237 238 240 404 161 398
402 76 307 102 534 135 162
403 312 311 129 535 538 532
404 238 239 240 405 401 531
405 241 240 239 404 406 191
406 241 239 327 571 698 405
407 243 392 393 697 701 159
408 307 310 309 537 534 530
409 316 328 331 578 573 549
410 105 244 96 61 125 126
411 242 394 393 701 570 699
412 245 244 106 126 413 262
413 168 245 106 412 385 263
414 167 112 245 262 263 267
415 113 251 249 425 360 420
416 247 246 113 158 360 351
417 247 253 252 429 15 426
418 254 251 107 420 612 704
419 19 252 257 435 427 15
420 251 113 107 160 418 415
421 253 249 248 425 428 426
422 258 261 253 439 428 438
423 262 263 424 760 754 444
424 394 395 243 703 701 700
425 248 249 251 415 312 421
426 253 247 249 360 421 417
427 19 257 255 750 0 419
428 258 253 248 421 732 422
429 252 253 250 439 435 417
430 316 242 327 570 32 573
431 408 404 415 749 743 724
432 412 410 248 732 733 737
433 262 419 257 750 436 446
434 264 269 267 448 452 455
435 252 250 257 436 419 429
436 257 250 262 444 433 435
437 407 410 260 737 726 187
438 258 256 261 447 422 723
439 253 261 250 445 429 422
440 294 422 421 505 755 504
441 352 400 449 713 579 621
442 413 270 264 455 459 653
443 411 265 409 451 730 735
444 263 262 250 436 445 423
445 263 250 261 439 199 444
446 262 259 419 751 433 754
447 265 261 256 438 451 450
448 269 271 267 456 434 460
449 211 301 302 518 521 522
450 265 267 261 199 447 452
451 265 256 409 731 443 447
452 265 264 267 434 450 735
453 406 409 407 731 727 725
454 215 369 213 656 357 352
455 270 269 264 434 442 462
456 267 271 424 761 760 448
457 296 134 292 499 501 509
458 421 259 424 754 761 752
459 413 264 411 735 734 442
460 271 269 268 462 507 448
461 217 215 306 361 527 352
462 268 269 270 455 512 460
463 271 297 295 511 506 507
464 293 295 291 511 503 497
465 426 429 273 671 587 168
466 119 11 272 0 163 166
467 139 332 323 798 558 580
468 275 274 27 24 473 178
469 121 274 123 178 58 173
470 278 133 277 472 471 481
471 275 278 277 470 194 176
472 279 277 133 470 477 97
473 275 27 276 0 176 468
474 132 123 277 194 97 179
475 276 26 278 196 176 0
476 281 286 25 0 395 491
477 280 279 133 472 479 2
478 132 279 127 2 195 97
479 281 280 133 477 481 482
480 283 285 281 482 395 490
481 278 281 133 479 470 491
482 281 285 280 396 479 480
483 284 282 92 22 487 198
484 127 280 282 396 198 2
485 283 24 235 197 490 0
486 235 90 92 795 22 197
487 287 284 92 483 794 495
488 127 288 134 499 195 394
489 71 441 442 792 117 793
490 283 235 285 20 480 485
491 278 286 281 476 481 196
492 443 304 441 524 793 496
493 284 290 288 494 394 495
494 288 290 292 348 499 493
495 287 290 284 493 487 184
496 289 304 443 492 797 762
497 294 295 293 464 502 506
498 296 291 299 508 516 501
499 292 134 288 488 494 457
500 293 290 234 184 502 348
501 292 291 296 498 457 503
502 293 234 294 756 497 500
503 291 292 293 348 464 501
504 294 423 422 80 440 756
505 420 421 422 440 757 752
506 294 271 295 463 497 755
507 297 271 268 460 510 463
508 291 297 299 514 498 511
509 134 296 300 516 350 457
510 268 298 297 514 507 526
511 291 295 297 463 508 464
512 305 268 270 462 356 526
513 128 300 301 515 319 350
514 297 298 299 517 508 510
515 298 301 300 513 517 518
516 296 299 300 517 509 498
517 298 300 299 516 514 515
518 302 301 298 515 520 449
519 128 303 140 648 201 319
520 305 302 298 518 526 529
521 212 211 302 449 528 349
522 301 211 303 523 319 449
523 366 303 211 522 315 648
524 441 304 287 26 792 492
525 425 21 422 757 80 763
526 268 305 298 520 510 512
527 306 270 217 653 461 356
528 212 302 306 529 361 521
529 305 306 302 528 520 356
530 311 310 307 408 535 539
531 238 309 239 537 404 399
532 313 311 312 403 540 541
533 313 315 308 548 541 1109
534 102 307 309 408 399 402
535 129 311 307 530 162 403
536 310 308 316 549 32 539
537 239 309 310 408 571 531
538 312 129 131 206 542 403
539 308 310 311 530 541 536
540 312 317 313 544 532 542
541 308 311 313 532 533 539
542 312 131 317 551 540 538
543 313 314 607 1108 1109 544
544 313 317 314 365 543 540
545 610 351 315 616 1114 618
546 324 326 314 1108 555 108
547 455 459 453 829 821 813
548 315 328 308 549 533 616
549 316 308 328 548 409 536
550 139 318 131 551 165 558
551 317 131 318 550 82 542
552 321 323 320 208 148 554
553 318 321 319 564 82 554
554 321 318 323 558 552 553
555 324 314 319 365 559 546
556 343 341 342 601 600 594
557 339 322 337 560 591 1110
558 323 318 139 550 467 554
559 325 324 319 555 564 567
560 322 325 337 566 557 567
561 610 607 326 1108 1115 1114
562 329 332 333 580 207 581
563 334 444 332 798 913 799
564 325 319 321 553 148 559
565 324 322 608 1110 108 567
566 325 338 337 593 560 590
567 322 324 325 559 560 565
568 608 339 349 1113 1111 1110
569 450 351 353 618 928 746
570 327 242 393 411 698 430
571 310 327 239 406 537 32
572 351 350 328 578 616 619
573 242 316 331 409 613 430
574 504 335 336 766 911 910
575 372 376 5 905 100 660
576 341 320 340 675 601 598
577 58 628 591 1086 1072 1082
578 331 328 350 572 809 409
579 352 449 350 809 617 441
580 333 332 139 467 582 562
581 332 329 505 791 913 562
582 118 333 139 580 188 182
583 333 108 335 898 207 182
584 440 504 509 911 922 663
585 338 341 330 594 593 598
586 119 497 108 898 129 899
587 426 273 428 765 768 465
588 273 433 336 920 765 774
589 508 502 376 905 919 918
590 338 325 320 148 598 566
591 339 337 330 593 109 557
592 444 445 320 675 208 799
593 330 337 338 566 585 591
594 343 330 341 585 556 603
595 346 609 339 1113 608 1112
596 340 445 447 801 597 675
597 342 340 447 596 674 601
598 320 341 338 585 590 576
599 377 380 374 803 661 669
600 342 541 343 983 556 984
601 341 340 342 597 556 576
602 484 541 483 364 875 867
603 330 343 345 609 109 594
604 590 592 603 1101 1100 1074
605 60 542 590 607 1076 0
606 344 597 343 609 983 1088
607 590 542 588 884 1073 605
608 339 345 346 986 595 109
609 345 343 597 606 986 603
610 353 547 546 1097 991 993
611 455 73 451 353 813 938
612 254 107 395 703 712 418
613 331 449 242 699 573 809
614 521 522 57 943 0 622
615 518 56 221 0 369 839
616 351 328 315 548 545 572
617 350 347 352 716 579 619
618 351 610 353 993 569 545
619 347 350 351 572 746 617
620 401 397 398 707 714 657
621 352 398 400 706 441 710
622 522 521 519 941 945 614
623 601 349 554 1009 1008 996
624 354 122 355 626 171 146
625 135 354 109 171 174 151
626 356 355 122 624 628 249
627 77 120 355 9 249 72
628 194 356 122 626 318 314
629 162 110 358 252 633 204
630 356 171 357 631 205 314
631 359 357 171 630 634 270
632 77 357 358 633 84 205
633 162 358 357 632 270 629
634 171 160 359 635 631 268
635 359 160 159 228 253 634
636 83 360 141 212 0 19
637 85 361 144 180 153 218
638 361 84 31 70 115 218
639 363 362 146 246 641 219
640 78 110 362 204 644 40
641 149 363 146 639 227 152
642 364 363 137 225 643 219
643 364 137 143 215 213 642
644 362 364 78 202 640 219
645 140 365 122 318 146 647
646 195 365 196 344 311 260
647 365 140 366 648 344 645
648 303 366 140 647 519 523
649 581 367 203 335 1060 1059
650 49 367 204 1059 0 283
651 218 382 227 85 377 379
652 529 213 371 656 854 844
653 217 270 413 442 739 527
654 369 217 370 739 358 352
655 404 405 403 68 718 722
656 213 369 371 358 652 454
657 403 397 401 620 715 719
658 468 463 458 841 846 845
659 381 375 373 662 886 112
660 377 376 372 575 666 661
661 376 377 374 599 919 660
662 4 373 375 659 664 0
663 504 440 505 912 791 584
664 4 375 372 86 100 662
665 381 489 3 0 869 886
666 377 372 219 86 856 660
667 508 374 507 670 917 919
668 474 473 377 669 856 672
669 377 473 380 857 599 668
670 374 446 507 790 667 803
671 273 429 431 772 774 465
672 473 474 379 861 857 668
673 379 481 483 872 876 807
674 447 448 342 984 597 805
675 340 320 445 592 596 576
676 2 485 486 881 879 0
677 478 481 482 866 1140 872
678 517 457 220 823 1006 955
679 456 516 457 823 814 934
680 385 230 232 265 384 684
681 383 490 384 887 391 883
682 491 492 494 892 694 988
683 168 383 385 684 390 385
684 230 385 383 683 391 680
685 87 386 229 389 381 371
686 70 82 387 83 383 16
687 89 387 81 83 56 14
688 232 386 387 383 14 389
689 228 233 388 392 37 144
690 389 388 391 392 36 692
691 493 391 233 392 264 695
692 38 388 389 690 0 37
693 491 384 68 887 891 890
694 493 491 494 682 893 890
695 390 391 493 691 893 889
696 16 392 115 159 0 127
697 393 392 241 127 698 407
698 327 393 241 697 406 570
699 449 394 242 411 613 808
700 395 394 348 808 702 424
701 243 393 394 411 424 407
702 395 348 400 713 712 700
703 107 243 395 424 612 52
704 251 254 396 705 312 418
705 396 254 397 707 736 704
706 398 254 400 712 621 707
707 397 254 398 706 620 705
708 401 402 399 740 715 714
709 266 408 370 989 738 721
710 398 352 495 716 895 621
711 534 536 537 981 855 970
712 395 400 254 706 612 702
713 400 348 449 808 441 702
