ID X Y Elevation Lon Lat
1 -2245591 2115193 1163.5 -122.594861677601 39.2141670526016
2 -2244522 2114621 1050.18 -122.58100571326 39.2118957179298
3 -2244084 2113568 1050.65 -122.572687944375 39.2039441848923
4 -2245009 2111774 1066.71 -122.577291202338 39.1862813290538
5 -2245732 2111538 1064.82 -122.584649437111 39.1824766133632
6 -2244914 2109207 768.6 -122.567947631297 39.1645012254835
7 -2243769 2107918 538.21 -122.550939098029 39.1562647380496
8 -2244379 2106979 497.95 -122.554762616421 39.1467106574393
9 -2245445 2107031 685.49 -122.566895964665 39.1445328216656
10 -2247403 2108380 722.84 -122.593223014453 39.1512785195332
11 -2249456 2109069 947.23 -122.618490213756 39.1521251293593
12 -2250372 2108559 997 -122.627123999013 39.1454924559586
13 -2250979 2108677 1082.66 -122.634317205157 39.145006352111
14 -2251264 2108284 1111.39 -122.63624599092 39.1409333348544
15 -2251624 2108404 1036.37 -122.640673443669 39.1410736127407
16 -2253531 2110190 1053.44 -122.667847179258 39.1516762286793
17 -2255037 2110540 1198.37 -122.685879825872 39.1509542392628
18 -2255541 2110095 1303.16 -122.690094907801 39.1458930718354
19 -2257031 2111483 1216.72 -122.71130881767 39.1541053721269
20 -2258627 2111490 1122.41 -122.729239526588 39.1502141109798
21 -2259417 2112025 1149.18 -122.739837980417 39.1528430376974
22 -2261364 2111859 1342.86 -122.761143148848 39.1465946836129
23 -2262223 2112694 1328.75 -122.77349035068 39.1516208999001
24 -2262114 2113304 1363.77 -122.774248226606 39.1571192928701
25 -2262872 2114407 1245.59 -122.786335641758 39.1646916844036
26 -2262794 2115603 1361.58 -122.789346787869 39.1751351951406
27 -2262078 2116266 1446.03 -122.78346608548 39.1825941590209
28 -2262178 2116718 1458.25 -122.78605731676 39.1862197696788
29 -2262455 2117235 1431.04 -122.790846749575 39.1899630729831
30 -2263929 2118178 1182.3 -122.81045756822 39.1943845282317
31 -2263562 2120591 1448.07 -122.814189563655 39.2159746229622
32 -2264304 2120970 1277.12 -122.823753867882 39.2173788221082
33 -2264503 2121630 1301.05 -122.828137239974 39.2225399679839
34 -2265343 2122230 1229.39 -122.839523004571 39.2255931645863
35 -2265732 2123030 1192.49 -122.846497672639 39.2314808582424
36 -2265524 2123989 1283.71 -122.847287784482 39.2402156315078
37 -2264706 2124300 1355.1 -122.839114995814 39.2449148045532
38 -2263948 2124036 1241.97 -122.829741706352 39.2445370073383
39 -2263252 2124859 1008.71 -122.824605381536 39.2533193946525
40 -2261996 2125264 1025.25 -122.811815322088 39.2599107444912
41 -2260724 2124547 952.83 -122.795191409973 39.256924851168
42 -2260471 2124058 900.02 -122.790758040011 39.2533620539431
43 -2259750 2124181 1051.97 -122.783058343583 39.2562055835582
44 -2259104 2123778 1007.86 -122.77449018687 39.2543544081226
45 -2258830 2123151 1025.62 -122.769373446331 39.2496601908916
46 -2258371 2122965 1025.85 -122.763612423951 39.249204304273
47 -2258612 2122444 1025.52 -122.764626431034 39.244141227718
48 -2257515 2121895 1050.2 -122.750519616866 39.2421553119721
49 -2256499 2121962 1087.12 -122.739323581644 39.2452472491227
50 -2255287 2121586 1277.64 -122.724486710333 39.2450261783204
51 -2253877 2122499 1814.14 -122.711606657083 39.2563431234063
52 -2252435 2120903 1684.57 -122.690227927727 39.2462288208724
53 -2251788 2118883 1476.78 -122.67641357465 39.2305109725571
54 -2252250 2118309 1412.68 -122.679744286125 39.224447940545
55 -2251639 2118234 1431.09 -122.672637820863 39.2253152165792
56 -2251284 2117220 1349.94 -122.665367019802 39.2174990768198
57 -2250093 2116458 1343.39 -122.649523138388 39.2139078342932
58 -2248622 2117089 1026.57 -122.635039637287 39.2229495650879
59 -2247619 2116831 1050.04 -122.622937146624 39.2232123024023
60 -2246785 2115795 1122.97 -122.610219708973 39.2163858724666
61 -2251345 2108643 947.89 -122.638314704753 39.1438114900365
62 -2251217 2109246 962.19 -122.638826409379 39.1492975734635
63 -2252577 2109297 957.13 -122.65425370846 39.14637689476
