ID FrNode ToNode
1 1 2
2 3 1
3 4 3
4 5 3
5 6 5
6 7 6
7 8 7
8 9 8
9 10 9
10 11 10
11 12 11
12 13 12
13 14 13
14 15 13
15 16 15
16 17 15
17 18 17
18 19 18
19 20 19
20 21 20
21 22 21
22 23 22
23 24 23
24 25 24
25 26 25
26 27 26
27 28 27
28 29 27
29 30 26
30 31 25
31 32 31
32 33 24
33 34 33
34 35 23
35 36 22
36 37 21
37 38 37
38 39 37
39 40 20
40 41 40
41 42 41
42 43 42
43 44 43
44 45 42
45 46 45
46 47 46
47 48 46
48 49 45
49 50 19
50 51 50
51 52 51
52 53 50
53 54 53
54 55 53
55 56 18
56 57 17
57 58 12
58 59 58
59 60 58
60 61 11
61 62 10
62 63 9
63 64 63
64 65 64
65 66 65
66 67 66
67 68 67
68 69 67
69 70 69
70 71 70
71 72 71
72 73 71
73 74 70
74 75 69
75 76 75
76 77 75
77 78 66
78 79 78
79 80 78
80 81 65
81 82 64
82 83 63
83 84 8
84 85 7
85 86 6
86 87 86
87 88 86
88 89 88
89 90 89
90 91 89
91 92 91
92 93 91
93 94 93
94 95 94
95 96 94
96 97 88
97 98 97
98 99 97
99 100 99
100 101 100
101 102 99
102 103 5
103 104 1
