ID X Y Lon Lat
1 -2246527.25 2108709.75 -122.584456000265 39.1562639688558
2 -2244177.98867039 2107150.30400279 -122.553057904989 39.1486744299001
3 -2247097.25 2109159.75 -122.592306169224 39.1587184874944
4 -2246617.25 2109849.75 -122.589143277762 39.1658181797468
5 -2248327.25 2109849.75 -122.60834057179 39.1616034205684
6 -2248777.25 2110899.75 -122.616782427145 39.1694971770384
7 -2249737.25 2110659.75 -122.626784493018 39.1650711205986
8 -2250187.25 2110629.75 -122.631739077653 39.1637035053093
9 -2250817.25 2111199.75 -122.640653007617 39.1670358152084
10 -2251117.25 2111709.75 -122.64566923871 39.1706678901602
11 -2252467.25 2113029.75 -122.665093634564 39.1786507381087
12 -2253127.25 2113779.75 -122.674930337133 39.1834496875779
13 -2253817.25 2114979.75 -122.686562413891 39.192031479139
14 -2252317.25 2116809.75 -122.675644149584 39.2114284307955
15 -2255437.25 2116269.75 -122.708931436169 39.1990826676203
16 -2258137.25 2117499.75 -122.743236435461 39.2029400792655
17 -2255437.25 2116299.75 -122.709028680601 39.1993398361641
18 -2256097.25 2118279.75 -122.722860402852 39.2146788874115
19 -2256697.25 2118909.75 -122.731642567989 39.2185933119449
20 -2256817.25 2119239.75 -122.734061165398 39.221124745773
21 -2257807.25 2120199.75 -122.748296363314 39.2269005024099
22 -2259007.25 2120859.75 -122.763917609205 39.2295826335308
23 -2259727.25 2121429.75 -122.773856511826 39.2326822679565
24 -2260147.25 2121849.75 -122.779939098783 39.235239942166
25 -2261197.25 2123049.75 -122.795635486316 39.2429183517992
26 -2261767.25 2123199.75 -122.80252578517 39.2427886093274
27 -2262097.25 2123499.75 -122.80720873106 39.2445400455012
28 -2264737.25 2123109.75 -122.835587546611 39.2346378383026
29 -2262367.25 2124279.75 -122.812780795864 39.250553800294
30 -2263717.25 2121879.75 -122.820127908327 39.2266328529991
31 -2260987.25 2123379.75 -122.794350413572 39.2462678239084
32 -2260837.25 2123619.75 -122.793446376107 39.2486970268345
33 -2260357.25 2121699.75 -122.781809920615 39.2334333099682
34 -2262547.25 2120919.75 -122.803865945545 39.2213123213701
35 -2259517.25 2122179.75 -122.773935952517 39.239631194741
36 -2258797.25 2121249.75 -122.762826269075 39.2334460247394
37 -2256967.25 2120679.75 -122.740420240931 39.2330962584409
38 -2256967.25 2121099.75 -122.741783927613 39.2366962957481
39 -2256367.25 2120859.75 -122.734264951259 39.236125537542
40 -2258497.25 2119149.75 -122.752635497978 39.2161905350133
41 -2258917.25 2119449.75 -122.758326171319 39.2177207123498
42 -2259607.25 2119929.75 -122.767633878466 39.2201238156582
43 -2261737.25 2119119.75 -122.788917074524 39.2078971880039
44 -2263117.25 2118519.75 -122.802457728766 39.1993292382371
45 -2259937.25 2119599.75 -122.770267184099 39.2164770141401
46 -2260477.25 2118819.75 -122.773795743941 39.2084524620775
47 -2261287.25 2117739.75 -122.779379590808 39.1971868139541
48 -2260747.25 2117169.75 -122.771465868601 39.1936411954341
49 -2259967.25 2118159.75 -122.765925519014 39.204060710458
50 -2256307.25 2119089.75 -122.727846663798 39.2211021149228
51 -2255827.25 2120139.75 -122.725862441492 39.2312912343292
52 -2255197.25 2121009.75 -122.721608434765 39.2403087848981
53 -2255257.25 2119509.75 -122.717416019804 39.2273021257334
54 -2253907.25 2120799.75 -122.706434665343 39.2417016418168
55 -2253787.25 2120169.75 -122.703043576525 39.2365979087148
56 -2255317.25 2118909.75 -122.716143809802 39.2220103199704
57 -2252857.25 2118999.75 -122.688803602985 39.2288682879307
58 -2251507.25 2115189.75 -122.661303480584 39.1995411814991
59 -2251447.25 2115849.75 -122.662765472497 39.2053479298492
60 -2251387.25 2115159.75 -122.659858815436 39.1995804195546
61 -2251027.25 2113929.75 -122.651837194805 39.1899239979783
62 -2250787.25 2112699.75 -122.645165005423 39.1799708110028
63 -2252407.25 2110959.75 -122.65772459514 39.1610518852966
64 -2254567.25 2112339.75 -122.686433697222 39.1675446752986
65 -2254927.25 2112759.75 -122.691834283946 39.1702549736538
66 -2257717.25 2114439.75 -122.728594084976 39.1777514935596
67 -2258077.25 2114469.75 -122.732732060075 39.1771170391845
68 -2258137.25 2114949.75 -122.734962405753 39.1810827887522
69 -2258347.25 2114469.75 -122.735762512101 39.1764482484292
70 -2259487.25 2114949.75 -122.75011483242 39.1777378234998
71 -2259727.25 2115099.75 -122.753295310318 39.1784286345313
72 -2259787.25 2115369.75 -122.754845129046 39.1805940966391
73 -2260927.25 2115309.75 -122.767444897182 39.1772532933222
74 -2261857.25 2114859.75 -122.776420039567 39.1710897524953
75 -2259157.25 2113989.75 -122.743296207753 39.170327200209
76 -2260117.25 2114349.75 -122.755237937476 39.1710336055708
77 -2261227.25 2112759.75 -122.762532394032 39.1546539163801
78 -2257927.25 2112999.75 -122.726281896508 39.1648881296341
79 -2258287.25 2112579.75 -122.728960132769 39.1603964992301
80 -2257627.25 2112429.75 -122.721067560262 39.1607449964343
81 -2256037.25 2112159.75 -122.702349253267 39.1623657068336
82 -2255317.25 2111319.75 -122.691548871726 39.1569457990981
83 -2251957.25 2109459.75 -122.647824779261 39.149302725466
84 -2250517.25 2110149.75 -122.633892531071 39.158773502918
85 -2250097.25 2109579.75 -122.627337015843 39.1549225939357
86 -2248657.25 2112129.75 -122.619407601392 39.180339920578
87 -2249107.25 2112549.75 -122.625817206225 39.182831088822
88 -2247877.25 2112669.75 -122.612393079137 39.1868939827081
89 -2248027.25 2112909.75 -122.614852662568 39.1885820017629
90 -2249077.25 2113539.75 -122.628679303564 39.1913937528062
91 -2247967.25 2113149.75 -122.614954050779 39.1907879073513
92 -2249677.25 2115129.75 -122.640557458991 39.2035459392888
93 -2247637.25 2114229.75 -122.614736473825 39.2008624706087
94 -2247547.25 2114439.75 -122.614403999984 39.2028851266784
95 -2248267.25 2116389.75 -122.628793430744 39.2178294154993
96 -2247397.25 2114559.75 -122.613106828626 39.2042840210193
97 -2246347.25 2113119.75 -122.596663404581 39.1945246463323
98 -2246467.25 2113779.75 -122.600141900848 39.1998884773996
99 -2246287.25 2113119.75 -122.595989523651 39.1946725205251
100 -2245987.25 2113299.75 -122.593201051248 39.1969553899682
101 -2244877.25 2113509.75 -122.581410810962 39.2014910055526
102 -2245897.25 2112699.75 -122.590253768089 39.1920319702984
103 -2247187.25 2110929.75 -122.599027718968 39.1736747306092
104 -2245927.25 2109369.75 -122.579848460098 39.1634017670082
